importer,exporter,isic4_2,date_eff,tariffs,importsvaluein1000usd,affected_trade_value,affected_trade_share,affected_hs6tariff_line_share
Cambodia,Botswana,01,1/1/25,0,666.4698125,0,0,0
Cambodia,Botswana,01,4/4/25,0,666.4698125,0,0,0
Cambodia,Botswana,08,1/1/25,0,18660.15,0,0,0
Cambodia,Botswana,08,4/4/25,0,18660.15,0,0,0
Cambodia,Botswana,09,1/1/25,0,14928.12,0,0,0
Cambodia,Botswana,09,4/4/25,0,14928.12,0,0,0
Cambodia,Botswana,18,1/1/25,0,666.4698125,0,0,0
Cambodia,Botswana,18,4/4/25,0,666.4698125,0,0,0
Cambodia,Botswana,25,1/1/25,0,1332.939625,0,0,0
Cambodia,Botswana,25,4/4/25,0,1332.939625,0,0,0
Cambodia,Botswana,26,1/1/25,0,666.4698125,0,0,0
Cambodia,Botswana,26,4/4/25,0,666.4698125,0,0,0
Cambodia,Botswana,28,1/1/25,0,666.4698125,0,0,0
Cambodia,Botswana,28,4/4/25,0,666.4698125,0,0,0
Cambodia,Botswana,32,1/1/25,0,4665.2886875,0,0,0
Cambodia,Botswana,32,4/4/25,0,4665.2886875,0,0,0
Cambodia,Botswana,33,1/1/25,0,1999.4094375,0,0,0
Cambodia,Botswana,33,4/4/25,0,1999.4094375,0,0,0
Cambodia,Brazil,01,1/1/25,7.04125277637387,19589.63005431548,.62465,.0031886768574396,7.142857142857142
Cambodia,Brazil,01,4/4/25,7.041252776373868,19589.63005431548,.62465,.0031886768574396,7.142857142857142
Cambodia,Brazil,02,1/1/25,7.084031277997527,2704.82887797619,0,0,0
Cambodia,Brazil,02,4/4/25,7.084031277997527,2704.82887797619,0,0,0
Cambodia,Brazil,03,1/1/25,7.084031277997527,991.2985416666667,0,0,0
Cambodia,Brazil,03,4/4/25,7.084031277997527,991.2985416666667,0,0,0
Cambodia,Brazil,10,1/1/25,2.913711857741086,44329.51793571427,.243625,.0005495773726962,9.67741935483871
Cambodia,Brazil,10,4/4/25,2.913711857741085,44329.51793571428,.243625,.0005495773726962,9.67741935483871
Cambodia,Brazil,11,1/1/25,7.084031277997525,297.3895625,0,0,0
Cambodia,Brazil,11,4/4/25,7.084031277997525,297.3895625,0,0,0
Cambodia,Brazil,12,1/1/25,7.000000000000001,.086,0,0,0
Cambodia,Brazil,12,4/4/25,7.000000000000001,.086,0,0,0
Cambodia,Brazil,13,1/1/25,13.0505029035001,33.65907831196582,4.184866666666666,12.43309940896078,15.55555555555556
Cambodia,Brazil,13,4/4/25,13.05050290350011,33.65907831196581,4.184866666666666,12.43309940896077,15.55555555555556
Cambodia,Brazil,14,1/1/25,14.91244426428861,.1027916666666667,0,0,0
Cambodia,Brazil,14,4/4/25,14.91244426428861,.1027916666666667,0,0,0
Cambodia,Brazil,15,1/1/25,7.041929215668496,9487.832456089742,29.46624166666667,.3105687395202034,18
Cambodia,Brazil,15,4/4/25,7.041929215668493,9487.832456089745,29.46624166666667,.3105687395202033,18
Cambodia,Brazil,16,1/1/25,7.043719603460749,3023.910456089744,4.379616666666666,.1448328821326939,20.93023255813954
Cambodia,Brazil,16,4/4/25,7.04371960346075,3023.910456089744,4.379616666666666,.1448328821326939,20.93023255813954
Cambodia,Brazil,17,1/1/25,9.933331637009907,21.90281680402931,4.135991666666666,18.88337789459937,18.42105263157895
Cambodia,Brazil,17,4/4/25,9.933331637009903,21.90281680402931,4.135991666666667,18.88337789459937,18.42105263157895
Cambodia,Brazil,18,1/1/25,4.946453971568036,392.1387566964286,.62465,.1592931046301981,7.692307692307693
Cambodia,Brazil,18,4/4/25,4.946453971568036,392.1387566964285,.62465,.1592931046301981,7.692307692307693
Cambodia,Brazil,19,1/1/25,7.000000000000001,2.750625,0,0,0
Cambodia,Brazil,19,4/4/25,7.000000000000001,2.750625,0,0,0
Cambodia,Brazil,20,1/1/25,5.568738319077591,77.92329537545788,4.623241666666666,5.933067440731937,22.5
Cambodia,Brazil,20,4/4/25,5.568738319077595,77.92329537545787,4.623241666666666,5.933067440731937,22.5
Cambodia,Brazil,21,1/1/25,1.225189176340082,7.5723,0,0,0
Cambodia,Brazil,21,4/4/25,1.225189176340082,7.5723,0,0,0
Cambodia,Brazil,22,1/1/25,11.52649394899656,72.61625674297922,9.386081944444443,12.92559320107328,19.6078431372549
Cambodia,Brazil,22,4/4/25,11.52649394899656,72.61625674297923,9.386081944444443,12.92559320107328,19.6078431372549
Cambodia,Brazil,23,1/1/25,7.000000000000001,1.2285,0,0,0
Cambodia,Brazil,23,4/4/25,7.000000000000001,1.2285,0,0,0
Cambodia,Brazil,24,1/1/25,4.876772904414257,3077.805641666666,0,0,0
Cambodia,Brazil,24,4/4/25,4.876772904414257,3077.805641666667,0,0,0
Cambodia,Brazil,25,1/1/25,4.965184931724872,1945.114825888175,9.154956060606061,.4706640419763261,13.04347826086956
Cambodia,Brazil,25,4/4/25,4.965184931724875,1945.114825888174,9.154956060606061,.4706640419763262,13.04347826086956
Cambodia,Brazil,26,1/1/25,12.47538532075509,51.01314325757574,2.447604621212121,4.797988253446112,11.11111111111111
Cambodia,Brazil,26,4/4/25,12.4753853207551,51.01314325757575,2.447604621212122,4.797988253446111,11.11111111111111
