code,country,partner_country,rel_import_change,date
All,All,USA,-0.177677846,8/12/2025
All,All,CAN,-0.126476351,8/12/2025
All,All,IND,-0.118269417,8/12/2025
All,All,CHN,-0.101206343,8/12/2025
All,All,NZL,-0.074863097,8/12/2025
All,All,BRA,-0.072501848,8/12/2025
All,All,CRI,-0.072408286,8/12/2025
All,All,THA,-0.069143701,8/12/2025
All,All,VNM,-0.06368685,8/12/2025
All,All,CHE,-0.060621731,8/12/2025
All,All,KHM,-0.057498275,8/12/2025
All,All,IDN,-0.05459351,8/12/2025
All,All,MEX,-0.051912474,8/12/2025
All,All,GBR,-0.049172514,8/12/2025
All,All,EU,-0.046138799,8/12/2025
All,All,MYS,-0.043273365,8/12/2025
All,All,CIV,-0.041459188,8/12/2025
All,All,ISL,-0.041306144,8/12/2025
All,All,PER,-0.036135027,8/12/2025
All,All,BGD,-0.03605806,8/12/2025
All,All,PHL,-0.036014344,8/12/2025
All,All,TWN,-0.034112845,8/12/2025
All,All,JPN,-0.032622066,8/12/2025
All,All,CHL,-0.03162782,8/12/2025
All,All,JOR,-0.030388029,8/12/2025
All,All,SGP,-0.030384354,8/12/2025
All,All,ZAF,-0.029560575,8/12/2025
All,All,AUS,-0.029088559,8/12/2025
All,All,ARE,-0.028073704,8/12/2025
All,All,ROW,-0.027522765,8/12/2025
All,All,SEN,-0.026289312,8/12/2025
All,All,MMR,-0.02472182,8/12/2025
All,All,TUR,-0.022075447,8/12/2025
All,All,KOR,-0.020983554,8/12/2025
All,All,HKG,-0.019715027,8/12/2025
All,All,EGY,-0.018559634,8/12/2025
All,All,SAU,-0.017100255,8/12/2025
All,All,TUN,-0.016337906,8/12/2025
All,All,ARG,-0.015634416,8/12/2025
All,All,BRN,-0.013624325,8/12/2025
All,All,NGA,-0.012574046,8/12/2025
All,All,BLR,-0.011716113,8/12/2025
All,All,ISR,-0.011544869,8/12/2025
All,All,COL,-0.00995386,8/12/2025
All,All,RUS,-0.009475616,8/12/2025
All,All,UKR,-0.006574376,8/12/2025
All,All,KAZ,-0.001238741,8/12/2025
All,All,STP,0.000253805,8/12/2025
All,All,CMR,0.00115598,8/12/2025
All,All,COD,0.002377649,8/12/2025
All,All,MAR,0.007303822,8/12/2025
All,All,NOR,0.013008259,8/12/2025
All,All,LAO,0.02835642,8/12/2025
All,All,AGO,0.068658586,8/12/2025
All,All,PAK,0.371806109,8/12/2025
AGO,Angola,STP,-0.719046998,8/12/2025
AGO,Angola,BGD,-0.665998393,8/12/2025
AGO,Angola,COL,-0.535804613,8/12/2025
AGO,Angola,ROW,-0.326153001,8/12/2025
AGO,Angola,PAK,-0.311942468,8/12/2025
AGO,Angola,CMR,-0.310507145,8/12/2025
AGO,Angola,ISL,-0.304949583,8/12/2025
AGO,Angola,SEN,-0.261221356,8/12/2025
AGO,Angola,SAU,-0.227288505,8/12/2025
AGO,Angola,CIV,-0.157795664,8/12/2025
AGO,Angola,BRN,-0.136548866,8/12/2025
AGO,Angola,JOR,-0.117031954,8/12/2025
AGO,Angola,UKR,-0.112284421,8/12/2025
AGO,Angola,CAN,-0.081824803,8/12/2025
AGO,Angola,IND,-0.073417734,8/12/2025
AGO,Angola,LAO,-0.072114681,8/12/2025
AGO,Angola,ZAF,-0.055237764,8/12/2025
AGO,Angola,USA,-0.016184803,8/12/2025
AGO,Angola,GBR,-0.010435376,8/12/2025
AGO,Angola,AGO,-0.005258416,8/12/2025
AGO,Angola,ARG,-0.004273116,8/12/2025
AGO,Angola,CHN,0.002311278,8/12/2025
AGO,Angola,MAR,0.037457895,8/12/2025
AGO,Angola,KOR,0.038864152,8/12/2025
AGO,Angola,CHL,0.049695946,8/12/2025
AGO,Angola,THA,0.058926525,8/12/2025
AGO,Angola,VNM,0.065541564,8/12/2025
AGO,Angola,TUR,0.066082521,8/12/2025
AGO,Angola,JPN,0.082360559,8/12/2025
AGO,Angola,ARE,0.094092133,8/12/2025
AGO,Angola,BRA,0.101677283,8/12/2025
AGO,Angola,PHL,0.104871384,8/12/2025
AGO,Angola,TUN,0.106143949,8/12/2025
AGO,Angola,KHM,0.112654384,8/12/2025
AGO,Angola,EU,0.117383908,8/12/2025
AGO,Angola,NZL,0.121019245,8/12/2025
AGO,Angola,RUS,0.135348067,8/12/2025
AGO,Angola,ISR,0.142962833,8/12/2025
AGO,Angola,TWN,0.143484625,8/12/2025
AGO,Angola,MEX,0.163888249,8/12/2025
AGO,Angola,AUS,0.167653224,8/12/2025
AGO,Angola,SGP,0.188451096,8/12/2025
AGO,Angola,HKG,0.19608898,8/12/2025
AGO,Angola,COD,0.247682021,8/12/2025
AGO,Angola,CRI,0.252619812,8/12/2025
AGO,Angola,NGA,0.284942817,8/12/2025
AGO,Angola,MYS,0.304520316,8/12/2025
AGO,Angola,CHE,0.43830009,8/12/2025
AGO,Angola,NOR,0.529391146,8/12/2025
AGO,Angola,PER,0.557999814,8/12/2025
AGO,Angola,KAZ,0.885486381,8/12/2025
AGO,Angola,MMR,0.991374807,8/12/2025
AGO,Angola,IDN,1.318363177,8/12/2025
AGO,Angola,BLR,1.549645593,8/12/2025
AGO,Angola,EGY,3.460800756,8/12/2025
