code,country,partner_country,rel_import_change,date
AGO,Angola(AGO),IND,-1.794863624,2/4/2025
AGO,Angola(AGO),USA,-1.304331181,2/4/2025
AGO,Angola(AGO),GBR,-0.796201235,2/4/2025
AGO,Angola(AGO),KHM,-0.701213651,2/4/2025
AGO,Angola(AGO),LAO,-0.222623838,2/4/2025
AGO,Angola(AGO),AGO,0.517719159,2/4/2025
AGO,Angola(AGO),CHN,1.150422519,2/4/2025
AGO,Angola(AGO),UKR,1.748330555,2/4/2025
AGO,Angola(AGO),NGA,1.956885197,2/4/2025
AGO,Angola(AGO),BLR,2.064240637,2/4/2025
AGO,Angola(AGO),COL,2.228656184,2/4/2025
AGO,Angola(AGO),CIV,2.308258919,2/4/2025
AGO,Angola(AGO),PAK,2.393856173,2/4/2025
AGO,Angola(AGO),TUN,2.423771422,2/4/2025
AGO,Angola(AGO),JOR,2.490016779,2/4/2025
AGO,Angola(AGO),RUS,2.526391298,2/4/2025
AGO,Angola(AGO),CMR,2.587410288,2/4/2025
AGO,Angola(AGO),ZAF,2.615769603,2/4/2025
AGO,Angola(AGO),ISR,2.654602317,2/4/2025
AGO,Angola(AGO),JPN,2.654989454,2/4/2025
AGO,Angola(AGO),COD,2.716766343,2/4/2025
AGO,Angola(AGO),TUR,2.812150956,2/4/2025
AGO,Angola(AGO),ROW,2.90429933,2/4/2025
AGO,Angola(AGO),EU,2.943410415,2/4/2025
AGO,Angola(AGO),SAU,2.984607079,2/4/2025
AGO,Angola(AGO),SEN,3.047340888,2/4/2025
AGO,Angola(AGO),STP,3.117313006,2/4/2025
AGO,Angola(AGO),KAZ,3.195546698,2/4/2025
AGO,Angola(AGO),CHE,3.29000792,2/4/2025
AGO,Angola(AGO),HKG,3.295049242,2/4/2025
AGO,Angola(AGO),BGD,3.327382687,2/4/2025
AGO,Angola(AGO),ISL,3.377106904,2/4/2025
AGO,Angola(AGO),MYS,3.391653853,2/4/2025
AGO,Angola(AGO),TWN,3.41328328,2/4/2025
AGO,Angola(AGO),CRI,3.414437794,2/4/2025
AGO,Angola(AGO),NOR,3.511051831,2/4/2025
AGO,Angola(AGO),VNM,3.524113046,2/4/2025
AGO,Angola(AGO),KOR,3.585939624,2/4/2025
AGO,Angola(AGO),ARE,3.708531992,2/4/2025
AGO,Angola(AGO),BRN,3.898996688,2/4/2025
AGO,Angola(AGO),MAR,3.915221311,2/4/2025
AGO,Angola(AGO),BRA,4.064988537,2/4/2025
AGO,Angola(AGO),PER,4.252510604,2/4/2025
AGO,Angola(AGO),CHL,4.376226772,2/4/2025
AGO,Angola(AGO),PHL,4.535909958,2/4/2025
AGO,Angola(AGO),AUS,4.584359519,2/4/2025
AGO,Angola(AGO),SGP,4.65977606,2/4/2025
AGO,Angola(AGO),THA,5.015328548,2/4/2025
AGO,Angola(AGO),ARG,5.046620686,2/4/2025
